set_num,set_name,year,theme_id,num_parts,total_part_count,unique_part_count,minifig_count,spare_part_ratio,h_cat,h_col,n_distinct_colors,n_distinct_categories,prop_technic,prop_printed,prop_transparent,rare_part_ratio,minifig_to_part_ratio,has_minifigs,year_window,window_index
30264-1,Frax' Phoenix Flyer,2014,571,32,22.0,14.0,1.0,0.15384615384615385,2.24808450616181,1.9453165424776917,8.0,10.0,0.0,0.0,0.13636363636363635,0.0,0.045454545454545456,1.0,2014,31
30265-1,Worriz' Fire Bike,2014,571,31,27.0,20.0,1.0,0.18181818181818182,2.516315126892697,1.7870633997952412,7.0,15.0,0.25925925925925924,0.0,0.14814814814814814,0.0,0.037037037037037035,1.0,2014,31
30266-1,Sykor's Ice Cruiser,2014,571,25,21.0,11.0,1.0,0.0,2.1863402141730144,1.816025311429126,7.0,10.0,0.0,0.0,0.23809523809523808,0.09523809523809523,0.047619047619047616,1.0,2014,31
30270-1,Kraang's Turtle Target Practice,2013,570,36,33.0,18.0,1.0,0.21428571428571427,2.238001248255609,2.102556487037023,12.0,12.0,0.06060606060606061,0.0,0.09090909090909091,0.0,0.030303030303030304,1.0,2013,30
3027-1,25th Anniversary Silver Bucket,1998,399,426,418.0,76.0,0.0,0.004761904761904762,1.5531966536386008,1.8060794149240984,11.0,26.0,0.0,0.028708133971291867,0.004784688995215311,0.01674641148325359,0.0,0.0,1998,15
30271-1,Mikey's Mini-Shellraiser,2014,570,46,42.0,19.0,1.0,0.0,1.8756675592979737,2.2188187003232978,11.0,8.0,0.0,0.0,0.047619047619047616,0.0,0.023809523809523808,1.0,2014,31
30272-1,A-Wing Starfighter,2015,158,58,58.0,24.0,0.0,0.04918032786885246,1.8358397703754739,1.668769707376106,8.0,10.0,0.0,0.0,0.13793103448275862,0.0,0.0,0.0,2015,32
30274-1,AT-DP,2015,158,65,65.0,31.0,0.0,0.04411764705882353,2.2304406098200777,1.1695625933820837,5.0,13.0,0.07692307692307693,0.0,0.03076923076923077,0.0,0.0,0.0,2015,32
30275-1,TIE Advanced Prototype,2015,158,47,47.0,14.0,0.0,0.020833333333333332,1.4467277860933954,1.2228225813712121,6.0,6.0,0.02127659574468085,0.0,0.0425531914893617,0.0,0.0,0.0,2015,32
30276-1,First Order Special Forces TIE Fighter,2015,158,41,41.0,14.0,0.0,0.06818181818181818,1.782319352170803,1.2948645254402535,6.0,8.0,0.12195121951219512,0.024390243902439025,0.04878048780487805,0.024390243902439025,0.0,0.0,2015,32
30277-1,First Order Star Destroyer,2016,158,56,56.0,25.0,0.0,0.0967741935483871,1.6914071656078593,1.5424432280422977,6.0,8.0,0.0,0.0,0.16071428571428573,0.0,0.0,0.0,2016,33
30278-1,Poe's X-wing Fighter,2015,158,64,64.0,21.0,0.0,0.08571428571428572,2.0028631044242564,1.500260428480298,7.0,9.0,0.0,0.0,0.109375,0.0,0.0,0.0,2015,32
30279-1,Kylo Ren's Command Shuttle,2016,158,43,43.0,21.0,0.0,0.044444444444444446,2.259468387060252,1.3229627696794457,6.0,12.0,0.06976744186046512,0.0,0.11627906976744186,0.0,0.0,0.0,2016,33
30280-1,The Piece of Resistance,2014,578,33,28.0,13.0,1.0,0.15151515151515152,1.497698497976684,1.3473080095562247,4.0,8.0,0.17857142857142858,0.0,0.25,0.03571428571428571,0.03571428571428571,1.0,2014,31
3028-1,25th Anniversary Silver Tub,1998,399,845,845.0,91.0,0.0,0.0,1.2128508350920597,1.8126070432419488,13.0,26.0,0.0,0.023668639053254437,0.005917159763313609,0.014201183431952662,0.0,0.0,1998,15
30281-1,Micro Manager Battle,2014,578,27,22.0,13.0,1.0,0.15384615384615385,1.9607619094590913,1.2757690270397415,6.0,9.0,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,1.0,2014,31
30282-1,Super Secret Police Enforcer,2014,578,40,35.0,21.0,1.0,0.125,2.488410312464786,1.5592032538746767,7.0,14.0,0.05714285714285714,0.0,0.17142857142857143,0.0,0.02857142857142857,1.0,2014,31
30283-1,Off-Road,2015,22,43,43.0,20.0,0.0,0.06521739130434782,1.973321918425153,1.8208654943565903,8.0,10.0,0.0,0.0,0.11627906976744186,0.0,0.0,0.0,2015,32
30284-1,Tractor,2015,22,51,51.0,23.0,0.0,0.08928571428571429,2.184588587112727,1.8921907877526298,9.0,11.0,0.0,0.0,0.09803921568627451,0.0,0.0,0.0,2015,32
30285-1,Tiger,2015,22,73,73.0,21.0,0.0,0.09876543209876543,2.0144979949569612,1.2591403083496049,5.0,12.0,0.1643835616438356,0.0273972602739726,0.0,0.0,0.0,0.0,2015,32
30286-1,Christmas Tree,2015,227,65,65.0,18.0,0.0,0.17721518987341772,1.671337986636906,2.2666171371387165,15.0,10.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,2015,32
3029-1,Limited Edition Silver Duplo Bucket,1998,505,72,72.0,12.0,0.0,0.0,0.07319012915586921,1.593045554771239,6.0,2.0,0.0,0.05555555555555555,0.0,0.041666666666666664,0.0,0.0,1998,15
30291-1,Anacondrai Battle Mech,2015,435,43,39.0,26.0,1.0,0.0,2.4478236491027565,1.8211517663042716,8.0,15.0,0.23076923076923078,0.0,0.0,0.0,0.02564102564102564,1.0,2015,32
30292-1,Jay Nano Mech,2015,435,54,49.0,26.0,1.0,0.057692307692307696,2.551430846755536,1.5670490365694387,6.0,16.0,0.20408163265306123,0.0,0.0,0.0,0.02040816326530612,1.0,2015,32
